,-,Estudiantes,Estudiantes,Nuevos,Nuevos,Reinscriptos,Reinscriptos,Egresados,Egresados,%,%,-,Tasa promedio de
0,Institución,(EST),,Inscriptos,(NI),(RI),,(EGRE),,Mujeres,Mujeres,-,crecimiento anual de
1,-,Abs.,%,Abs.,%,Abs.,%,Abs.,%,-,-,-,estudiantes 2003-2013
2,Total de las Instituciones,393.132,100,110.057,"100,0",283.075,100,37.376,100,"56,8","63,2",-,"6,2"
3,Total Universidades Privadas,380.615,"96,8",106.208,"96,5",274.407,"96,9",36.329,"97,2","56,9","63,5",-,"6,1"
4,Abierta Interamericana,20.464,"5,2",5.766,"5,2",14.698,"5,2",2.790,"7,5","54,7","59,4",-,"2,9"
5,Aconcagua,7.053,"1,8",1.642,"1,5",5.411,"1,9",673,"1,8","64,9","62,3",-,"6,6"
6,Adventista del Plata,3.354,"0,9",536,"0,5",2.818,"1,0",383,"1,0","55,7","54,8",-,"6,5"
7,Argentina de la Empresa,26.767,"6,8",6.768,"6,1",19.999,"7,1",3.092,"8,3","48,1","60,4",-,"8,0"
8,Argentina John F. Kennedy,8.737,"2,2",1.318,"1,2",7.419,"2,6",707,"1,9","56,7","60,0",-,"-6,9"
9,Atlántida Argentina,1.228,"0,3",336,"0,3",892,"0,3",140,"0,4","60,8","60,7",-,"2,3"
10,Austral,3.278,"0,8",1014,"0,9",2.264,"0,8",366,"1,0","58,9","58,2",-,"4,2"
11,Belgrano,12.972,"3,3",2.884,"2,6",10.088,"3,6",611,"1,6","49,2","48,4",-,"2,2"
12,Blás Pascal,9.189,"2,3",3.470,"3,2",5.719,"2,0",1.221,"3,3","56,6","59,7",-,"6,7"
13,CAECE,4.795,"1,2",842,"0,8",3.953,"1,4",525,"1,4","49,6","56,8",-,"7,5"
14,Católica Argentina,15.429,"3,9",3.859,"3,5",11.570,"4,1",2.287,"6,1","51,8","58,9",-,"0,2"
15,Católica de Córdoba,8.194,"2,1",1.774,"1,6",6.420,"2,3",1.167,"3,1","57,4","62,3",-,"2,8"
16,Católica de Cuyo,7.482,"1,9",1.589,"1,4",5.893,"2,1",914,"2,4","61,0","68,8",-,"8,7"
17,Católica de La Plata,8.643,"2,2",1.791,"1,6",6.852,"2,4",533,"1,4","58,7","63,6",-,"8,5"
18,Católica de Salta,25.650,"6,5",6.058,"5,5",19.592,"6,9",1.542,"4,1","59,2","63,9",-,"4,8"
19,Católica de Santa Fe,5.936,"1,5",914,"0,8",5.022,"1,8",442,"1,2","59,5","62,0",-,"1,5"
20,Católica de Santiago del Estero,7.156,"1,8",1.678,"1,5",5.478,"1,9",373,"1,0","61,6","58,4",-,"2,0"
21,CEMA,749,"0,2",151,"0,1",598,"0,2",114,"0,3","33,9","41,2",-,"14,2"
22,Centro Educativo Latinoamericano,3.976,"1,0",811,"0,7",3.165,"1,1",373,"1,0","55,4","74,5",-,"7,8"
23,Champagnat,2.846,"0,7",328,"0,3",2.518,"0,9",267,"0,7","56,2","52,1",-,"0,7"
24,Ciencias Empresariales y Sociales,14.551,"3,7",4.396,"4,0",10.155,"3,6",1.076,"2,9","55,7","62,3",-,"9,5"
25,Cine,1.312,"0,3",416,"0,4",896,"0,3",100,"0,3","43,4","51,0",-,"8,4"
26,Concepción del Uruguay,3.354,"0,9",707,"0,6",2.647,"0,9",247,"0,7","68,6","66,0",-,"4,9"
27,Congreso,2.423,"0,6",682,"0,6",1.741,"0,6",179,"0,5","54,9","60,9",-,"4,0"
28,Cuenca del Plata,6.871,"1,7",1.610,"1,5",5.261,"1,9",504,"1,3","67,0","69,8",-,"16,4"
29,Empresarial Siglo 21,49.949,"12,7",21.791,"19,8",28.158,"9,9",2.720,"7,3","51,2","54,5",-,"37,6"
30,Este,635,"0,2",241,"0,2",394,"0,1",80,"0,2","64,0","76,3",-,"40,1"
31,FASTA,8.141,"2,1",2.584,"2,3",5.557,"2,0",482,"1,3","51,1","57,7",-,"10,6"
32,Favaloro,1.502,"0,4",465,"0,4",1.037,"0,4",263,"0,7","67,7","77,2",-,"14,1"
33,Flores,4.369,"1,1",1.172,"1,1",3.197,"1,1",401,"1,1","57,0","55,1",-,"5,7"
34,Gastón Dachary,2.413,"0,6",805,"0,7",1608,"0,6",94,"0,3","45,0","57,4",-,"13,1"
35,ISALUD,3.817,"1,0",1.469,"1,3",2.348,"0,8",417,"1,1","80,5","83,2",-,"33,3"
36,Juan Agustín Maza,3.274,"0,8",750,"0,7",2.524,"0,9",310,"0,8","62,5","68,4",-,"3,0"
37,Madres de Plaza de Mayo,327,"0,1",124,"0,1",203,"0,1",0,"0,0","56,7",-,-,"0,6"
38,Maimónides,12.644,"3,2",4.429,"4,0",8.215,"2,9",3.026,"8,1","69,6","77,3",-,"12,7"
39,Marina Mercante,4.207,"1,1",1.106,"1,0",3.101,"1,1",241,"0,6","47,9","59,8",-,"8,9"
40,Mendoza,8.736,"2,2",1.550,"1,4",7.186,"2,5",560,"1,5","56,5","61,4",-,"3,8"
41,Metropolitana,399,"0,1",399,"0,4",0,"0,0",0,"0,0",-,-,-,-
42,Morón,16.572,"4,2",4.675,"4,2",11.897,"4,2",1.619,"4,3","55,5","59,8",-,"1,5"
43,Museo Social Argentino,3.050,"0,8",823,"0,7",2.227,"0,8",447,"1,2","71,6","71,8",-,"-0,4"
44,Norte Santo Tomás de Aquino,6.490,"1,7",1.382,"1,3",5.108,"1,8",571,"1,5","60,7","63,4",-,"1,1"
45,Palermo,13.182,"3,4",4.185,"3,8",8.997,"3,2",1.257,"3,4","58,3","67,4",-,"6,7"
46,Salvador,25.443,"6,5",5.987,"5,4",19.456,"6,9",2.798,"7,5","66,9","76,8",-,"6,3"
47,San Andrés,1.014,"0,3",248,"0,2",766,"0,3",198,"0,5",51,54,-,"4,1"
48,San Isidro,114,"0,0",114,"0,1",0,"0,0",0,"0,0",-,-,-,-
49,San Pablo -T,755,"0,2",210,"0,2",545,"0,19",27,"0,1","42,0","48,1",-,"0,2"
50,Torcuato Di Tella,1.173,"0,3",359,"0,3",814,"0,29",192,"0,5","51,5","49,0",-,"0,1"
51,Total Institutos Universitarios,12.517,"3,2",3.849,"3,5",8.668,"3,1",1.047,"2,8","55,1","54,2",-,"9,3"
52,CEMIC,451,"0,1",133,"0,1",318,"0,1",42,"0,1","69,5","69,0",-,"12,9"
53,Cs de la Salud de la Fundación Barceló,4.825,"1,2",1.580,"1,4",3.245,"1,1",371,"1,0","65,7","67,4",-,"3,3"
54,Escuela Argentina de Negocios,1.247,"0,3",456,"0,4",791,"0,3",115,"0,3","44,6","54,8",-,"46,1"
55,Escuela de Medicina del Hospital Italiano,397,"0,1",93,"0,1",304,"0,1",46,"0,1","62,5","69,6",-,"9,1"
56,Escuela Universitaria de Teología,87,"0,0",25,"0,0",62,"0,0",3,"0,0","56,5","100,0",-,"1,2"
57,ESEADE,116,"0,0",52,"0,0",64,"0,0",11,"0,0","68,8","72,7",-,"16,1"
58,Gran Rosario,2.752,"0,7",943,"0,9",1.809,"0,6",42,"0,1","59,6","81,0",-,"47,9"
59,ISEDET,56,"0,0",6,"0,0",50,"0,0",47,"0,1","46,0","46,8",-,"3,2"
60,Italiano de Rosario,659,"0,2",150,"0,1",509,"0,2",123,"0,3","71,1","69,9",-,"15,2"
61,ITBA,1.851,"0,5",335,"0,3",1.516,"0,5",247,"0,7","22,1","16,2",-,"3,3"
62,River Plate,76,"0,0",76,"0,1",-,-,-,-,-,-,-,-
