,-,Reinscriptos (RI),Reinscriptos (RI),Egresados (EGRE),Egresados (EGRE),%,%,%,%,-,% de RI con 2,% Estudiantes,Tasa promedio de
0,Institución,Abs.,%,Abs.,%,Mujeres Estudiantes,Mujeres Inscriptos Nuevos,de NI años,de RI años,-,o más materias año informado aprobadas el,que son Inscriptos Nuevos,crecimiento anual2003-2013
1,Total de las instituciones,100,,80.343,100,"57,5","57,5","37,8","41,5",-,"64,3","22,0","0,9"
2,Total Universidades Nacionales,"96,9",,76.923,"95,7","57,5","57,5","38,7","41,9",-,"64,5","21,7","0,9"
3,Arturo Jauretche,3.842,"0,3",0,,"62,0","63,5","- 18,5","38,2",-,"36,6","50,9",60
4,Avellaneda,2.566,"0,2",54,"0,1","56,4","65,3","5,5","31,3",-,"45,0","43,3",166
5,Buenos Aires,268.169,"23,9",17.129,"21,3","60,5","61,6","55,7","41,8",-,"72,2","16,2","1,0"
6,Catamarca,9.194,"0,8",390,"0,5","56,9","53,5","40,9","40,0",-,"59,1","23,5","1,1"
7,Centro de la PBA,10.888,"1,0",655,"0,8","50,8","52,9","42,5","44,8",-,"67,6","19,7","0,7"
8,Chaco Austral,2.063,"0,2",25,"0,0","56,3","54,9","40,5","58,1",-,"46,5","34,7","0,7"
9,Chilecito,2.713,"0,2",103,"0,1","64,1","63,2","25,2","28,5",-,"49,9","18,0","0,3"
10,Comahue,22.012,"2,0",1.059,"1,3","65,0","62,0","28,3","39,8",-,"52,4","28,8","0,9"
11,Córdoba,86.055,"7,7",6.910,"8,6","62,2","62,5","43,7","45,6",-,"68,0","20,6","1,1"
12,Cuyo,24.771,"2,2",2.361,"2,9","62,1","61,8","47,1","47,3",-,"65,8","21,6","1,0"
13,Entre Ríos,10.550,"0,9",1.237,"1,5","63,6","63,2","25,3","37,8",-,"58,9","29,2","0,9"
14,Formosa,7.913,"0,7",286,"0,4","63,7","60,9","36,3","47,2",-,"43,8","30,7","0,8"
15,Gral. Sarmiento,5.379,"0,5",210,"0,3","47,1","43,8","20,3","37,0",-,"59,7","24,5","0,5"
16,José C. Paz (1),0,,0,,"64,8","64,8","- 6,1",-,-,-,"100,0",-
17,Jujuy,10.963,"1,0",199,"0,2","55,1","51,2","32,2","35,3",-,"44,6","25,9","0,8"
18,La Matanza,30.101,"2,7",1.983,"2,5","55,2","55,4","39,9","44,5",-,"72,8","17,2","0,6"
19,La Pampa,6.819,"0,6",469,"0,6","62,4","64,5","35,3","45,7",-,"62,2","25,1","1,2"
20,La Plata,88.429,"7,9",6.094,"7,6","55,7","54,6","32,0","40,6",-,"66,0","19,5","0,9"
